code,term,id,type,bnf_code
320605000,Fluticasone propionate 500micrograms/dose dry powder inhaler,320605000,vmp,0302000N0AAAUAU
320280004,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler,320280004,vmp,0302000N0AAAZAZ
320615006,Fluticasone 250micrograms/dose inhaler CFC free,320615006,vmp,0302000N0AABCBC
320276009,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,320276009,vmp,0302000N0AABGBG
21113811000001105,Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free,21113811000001105,vmp,0302000N0AABKBK
9004411000001108,Ciclesonide 160micrograms/dose inhaler CFC free,9004411000001108,vmp,0302000U0AAABAB
23661311000001105,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler,23661311000001105,vmp,0302000V0AAAAAA
320491008,VMP previous to 35908611000001102,320491008,vmp,0302000C0AAAUAU
320531008,VMP previous to 35908811000001103,320531008,vmp,0302000C0AAACAC
320568006,VMP previous to 35912711000001106,320568006,vmp,0302000K0AAAHAH
320588005,VMP previous to 36059511000001106,320588005,vmp,0302000N0AAAFAF
320599007,VMP previous to 36059711000001101,320599007,vmp,0302000N0AAAPAP
320632005,VMP previous to 35908711000001106,320632005,vmp,0302000C0AABKBK
38897411000001103,VMP subsequent to 320280004,38897411000001103,vmp,0302000N0AAAZAZ
38897711000001109,VMP subsequent to 320605000,38897711000001109,vmp,0302000N0AAAUAU
39111311000001106,VMP subsequent to 320276009,39111311000001106,vmp,0302000N0AABGBG
39111411000001104,VMP subsequent to 320615006,39111411000001104,vmp,0302000N0AABCBC
