code,term
1324671000000103,Immunisation course to achieve immunity against severe acute respiratory syndrome coronavirus 2
1324681000000101,Administration of first dose of severe acute respiratory syndrome coronavirus 2 vaccine
1324691000000104,Administration of second dose of severe acute respiratory syndrome coronavirus 2 vaccine
1324851000000106,Severe acute respiratory syndrome coronavirus 2 immunisation course started
840534001,Administration of vaccine product containing only Severe acute respiratory syndrome coronavirus 2 antigen
90640007,Coronavirus vaccination
