code,term
J121,Respiratory syncytial virus pneumonia
J205,Acute bronchitis due to respiratory syncytial virus
J210,Acute bronchiolitis due to respiratory syncytial virus
B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
